rolename
Profile Administrator
Profile Mgmt Employee
Profile Mgmt Manager
DC_PRUEFHAKEN
QOM Administrator
Query User
RS Manager Fluid
RS Technical Administrator
Recruitment Administrator
Recruitment User
DCGR_Betrieb_030
DCGR_Betrieb_040
Resource
Resource Manager
DCGR_Betrieb_050
SECURITY_CLEARANCE_ADMIN
CS - Supervisor Refund Appr
SUPPL_DATA_DESIGNER
SUPPL_DATA_DEVELOPER
Sample-AWE Administrator
CS - Administrator
CS - Advisor
DCGR_Betrieb_052
DCGR_Betrieb_054
DCGR_Betrieb_060
CS - Collector A
CS - Collector B
CS - Contributor
CS - Employee
CS - First Level Refund Appr
CS - Former Student
CS - Fundraiser
CS - Graduate
CS - Group Approver
CS - Group Approver UB
CS - Guest
CS - Instructor
CS - Outreach Officer
CS - Second Level Refund Appr
CS - Student
CS - Student Applicant
CS - Student Prospect
CS - Student Recruiter
OD System Administrator
OD Std Non Page Permissions
OD ePerformance Setup
OD ePerformance Setup Inquiry
One Route Control Qry
Optionee
PAR Authorizer
GP Administrator ITA
PAR Reviewer
PAR Supervisor
Sample-Standard Non-Page Perm
DC_ORGANISATOR_ZENTRAL
DC_P1_BELEGERFASSER
Search Query Administrator
DC_PAPIST
Search- Company Directory
Search- Compensation
DC_PERSONALVERAENDERUNG
DC_PORTAL
DC_PORTALINTEGTRATION
OD Administrator HR
OD Administrator JPM
OD Administrator JPM Inquiry
OD Administrator Profiles
OD Administrator ePerformance
OD Customer Integration
OD Customer Security No PW
OD Employee JPM
OD Employee Review Setup
OD Employee ePerformance
Integration Analyst
Mobile User
My Benefits Fluid
My Total Rewards Fluid
NA Payroll Administrator
OD Administrator AWE
OD Integration Inquiry
OD Integration Monitoring
EOLT Implementer
OD Oracle Provisioning
BAM Administrator
OD PeopleSoft User No Password
CS - Admin DDA Display Only
EOLT_ADMIN
EOPP_GUEST
PREHIRE_ADMINISTRATOR
DC_PRUEF_BAV
DC_MITARBEITER_PB
HCM Event Manager Admin
DC_TESTER
DC_R_ZEUGNIS
DCGR_063_063_13
DCGR_063_063_23
DCGR_063_063_33
Packaging
Payroll Administrator
Payroll Bdgt Control Admin CHN
Payroll Interface Admin
Payroll for NA Employee Fluid
Pension Administrator
DCGR_698
TEST_WORKCENTER
DC_HIVE_DOWN
Personnel Administrator
DC_SSC_PM_GMBH
DC_R_ANUE_DIREKT
Pre-Builder
Process Integration Admin
Process Integration Admin GP
Process Integration Admin PNA
Professional Compliance
Sample-Benefits Administrator
DC_ARCHIV_EA
DC_ARCHIV_EAF
DC_ARCHIV_EA_BESCHEINIGER
DC_ARCHIV_EA_PFAENDUNG
DC_ARCHIV_EA_PRUEFPOOL
DC_ARCHIV_EA_PRUEFPOOL_INTERN
DC_ARCHIV_HD_ADMIN
DC_ARCHIV_HD_ANUE
DC_ARCHIV_HD_BASIS
DC_ARCHIV_HD_HR
DC_ARCHIV_HD_PAYROLL
DC_ARCHIV_HD_RECRUITER
DC_ARCHIV_IT_ADMIN
DC_ARCHIV_ZW_NDL
Sample-HR Admin MIL
Query Designer
Sample-HR Administrator
Sample-Manager
Sample-NA Payroll Admin
Sample-Packaging
OD Administrator Mass Change
OD Archive Manager
OD CPSP-Administrator
OD CPSP-Employee
OD CPSP-Manager
OD Customer Operations
OD Customer PeopleTools
OD Customer Security
OD Administrator Delegations
OD Administrator HCM Security
OD Forgotten Password
OD Integration Administrator
OD PeopleSoft User
OD XMLP Standard User
OD Portal Administration
Org Viewer User - Employee
Org Viewer User - Manager
PAPP_USER
PBMUSER
PSBASS
DC_WL_TZUG
DC_SEC_AUTOMATION
DCGR_Betrieb_020
PeopleTools DataSet Access
Personnelist
Profile Mgmt Employee Fluid
RS Approval Administrator
Recruiter
Recruiting Manager
SS Report Administrator
SS Report Employee
Salary Packaging Admin AUS
Sample-Access
Sample-HCM Security Admin
Sample-PeopleSoft User
Sample-PeopleSoft Usr Pkg
Sample-PeopleSoft Usr Pkg2
Sample-PeopleTools
Leave Donation Administrator
EOPP_PORTAL_ADMIN
EOPP_PORTAL_MANAGER
DC_LANGZEITARCHIV
Professional Compliance Admin
Professional Compliance GBR
Time & Labor Administrator
DCGR_BR_UT_010
DCGR_BR_UT_019
DCGR_BR_ZENTRALE
DCGR_C
DCGR_E1
DCGR_E1BC
DCGR_E2
DCGR_E2BE1
DCGR_E3
DCGR_E3BE2
DCGR_E4
DCGR_E4BE2
DCGR_E4BE3
DCGR_EXPAT
DCGR_EX_VORSTAND
DCGR_FERIEN
DC_ADMIN_DCGR_BR_W495
DCGR_BR_208_PKW
DCGR_LFK_LA
DCGR_BR_210_LKW
DCGR_BR_210_PKW
DCGR_BR_212_LKW
DCGR_BR_212_PKW
Security: RSOPN by BU
TL Administrator Compensation
TL Compensation-Employee
TL Employee Leave Fluid
TL Employee Time Fluid
TL Manager Time Fluid
Taleo Integration Specialist
Taleo Integration User
Teleworker Administrator
DCGR_BR_213_LKW
DCGR_BR_213_PKW
DCGR_BR_214_LKW
DCGR_BR_214_PKW
Time and Labor Dashboard
DCGR_BR_216_LKW
DCGR_BR_216_PKW
DCGR_BR_217_LKW
Time and Labor LRM Admin
Time and Labor LRM User
Training Administrator
Training Administrator DEU
DCGR_BR_217_PKW
Training Administrator ESP
Training Administrator FRA
DCGR_BR_219_LKW
DCGR_BR_219_PKW
LMLELM_Internal_Learner
LMLELM_Learning_Admin
MIS Administrator
Manager
DCGR_BR_220_LKW
DCGR_BR_220_PKW
DCGR_BR_221_LKW
DCGR_BR_221_PKW
DCGR_BR_222_LKW
LMLELM_Learning_Catalog_Admin
LMLELM_Learning_Env_Admin
LMLELM_Learning_Finance_Admin
LMLELM_Learning_Resource_Admin
LMLELM_Manager
LMLELM_Profile_Administrator
LMLELM_Roster_Administrator
LMLELM_Technical_Administrator
DC_WL_ASC
DC_WOHNBAUDARLEHEN
OD Oracle Operations
OD Oracle PeopleTools
Translation Utilities
WorkCenter Dashboard Admin
WorkCenter Dashboard User
DC_WORKFLOW
DC_WORKFLOW_LIM
DC_WRITE
DC_WRITEAP
DC_WRITEPT
DC_WRITEQUERY
DC_CUHD1
DC_DATAMODELLING
DC_DATAMOVER
DC_EXTBEWERBER
DC_DELEGATION
DC_DIENSTWAGENINFO
DC_DLTV
DC_EA_CALC_CHECK
DC_EMD_ABRPRUEF
Manager Dashboard
Manager Dashboard - ELM
DCGR_BR_209_NDL
DCGR_BR_210_NDL
DCGR_BR_211_NDL
DCGR_BR_212_NDL
DCGR_BR_213_NDL
DCGR_BR_214_NDL
DCGR_BR_216_NDL
DCGR_BR_217_NDL
DCGR_BR_218_NDL
DCGR_BR_219_NDL
DCGR_BR_220_NDL
DCGR_BR_221_NDL
DCGR_BR_222_NDL
DCGR_BR_223_NDL
DCGR_BR_225_NDL
DCGR_BR_226_NDL
DCGR_BR_227_NDL
DCGR_BR_229_NDL
DCGR_BR_231_NDL
DCGR_BR_232_NDL
DC_PPM_ADMIN
